Product_ID,Keyword,Type,Hierarchy_Level
515,Accessories & Peripherals,Category,2
515,Cables & Accessories,Category,3
515,Cables,Category,4
515,USB Cables,Category,5
589,Portronics,Brand,1
589,Konnect L,Type,2
589,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable,Type,2
589,Computers & Accessories,Category,1
589,Accessories & Peripherals,Category,2
589,Cables & Accessories,Category,3
589,Cables,Category,4
589,USB Cables,Category,5
262,boAt,Brand,1
262,Rugged v3,Type,2
262,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable,Type,2
262,Computers & Accessories,Category,1
262,Accessories & Peripherals,Category,2
262,Cables & Accessories,Category,3
262,Cables,Category,4
262,USB Cables,Category,5
356,AmazonBasics,Brand,1
356,Flexible Premium,Type,2
356,AmazonBasics Flexible Premium HDMI Cable,Type,2
356,Computers & Accessories,Category,1
356,Accessories & Peripherals,Category,2
356,Cables & Accessories,Category,3
356,Cables,Category,4
356,USB Cables,Category,5
555,Portronics,Brand,1
555,Konnect CL,Type,2
555,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable,Type,2
555,Computers & Accessories,Category,1
555,Accessories & Peripherals,Category,2
555,Cables & Accessories,Category,3
555,Cables,Category,4
555,USB Cables,Category,5
939,Portronics,Brand,1
939,Konnect L,Type,2
939,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable,Type,2
939,Computers & Accessories,Category,1
939,Accessories & Peripherals,Category,2
939,Cables & Accessories,Category,3
939,Cables,Category,4
939,USB Cables,Category,5
522,MI,Brand,1
522,Braided USB,Type,2
522,MI Braided USB Type-C Cable,Type,2
522,Computers & Accessories,Category,1
522,Accessories & Peripherals,Category,2
522,Cables & Accessories,Category,3
522,Cables,Category,4
522,USB Cables,Category,5
1232,MI,Brand,1
1232,80 cm,Type,2
1232,Computers & Accessories,Category,1
1232,Accessories & Peripherals,Category,2
1232,Cables & Accessories,Category,3
1232,Cables,Category,4
1232,USB Cables,Category,5
514,Ambrane,Brand,1
514,Unbreakable 60W,Type,2
514,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable,Type,2
514,Computers & Accessories,Category,1
514,Accessories & Peripherals,Category,2
514,Cables & Accessories,Category,3
514,Cables,Category,4
514,USB Cables,Category,5
759,boAt,Brand,1
759,Type C,Type,2
759,"boAt Type C A325 Tangle-free, Sturdy Type C Cable",Type,2
759,Computers & Accessories,Category,1
759,Accessories & Peripherals,Category,2
759,Cables & Accessories,Category,3
759,Cables,Category,4
759,USB Cables,Category,5
615,LG,Brand,1
615,80 cm,Type,2
615,Computers & Accessories,Category,1
615,Accessories & Peripherals,Category,2
615,Cables & Accessories,Category,3
615,Cables,Category,4
615,USB Cables,Category,5
877,Duracell,Brand,1
877,USB Lightning,Type,2
877,Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable,Type,2
877,Computers & Accessories,Category,1
877,Accessories & Peripherals,Category,2
877,Cables & Accessories,Category,3
877,Cables,Category,4
877,USB Cables,Category,5
550,tizum,Brand,1
550,HDMI to,Type,2
550,tizum HDMI to VGA Adapter Cable,Type,2
550,Computers & Accessories,Category,1
550,Accessories & Peripherals,Category,2
550,Cables & Accessories,Category,3
550,Cables,Category,4
550,USB Cables,Category,5
895,Samsung,Brand,1
895,80 cm,Type,2
895,Computers & Accessories,Category,1
895,Accessories & Peripherals,Category,2
895,Cables & Accessories,Category,3
895,Cables,Category,4
895,USB Cables,Category,5
985,Flix,Brand,1
985,Micro Usb,Type,2
985,Flix Micro Usb Cable,Type,2
985,Computers & Accessories,Category,1
985,Accessories & Peripherals,Category,2
985,Cables & Accessories,Category,3
985,Cables,Category,4
985,USB Cables,Category,5
1138,Acer,Brand,1
1138,80 cm,Type,2
1138,Computers & Accessories,Category,1
1138,Accessories & Peripherals,Category,2
1138,Cables & Accessories,Category,3
1138,Cables,Category,4
1138,USB Cables,Category,5
197,Tizum,Brand,1
197,High Speed,Type,2
197,Tizum High Speed HDMI Cable,Type,2
197,Computers & Accessories,Category,1
197,Accessories & Peripherals,Category,2
197,Cables & Accessories,Category,3
197,Cables,Category,4
197,USB Cables,Category,5
579,OnePlus,Brand,1
579,80 cm,Type,2
579,Computers & Accessories,Category,1
579,Accessories & Peripherals,Category,2
579,Cables & Accessories,Category,3
579,Cables,Category,4
579,USB Cables,Category,5
808,Ambrane,Brand,1
808,Unbreakable 3,Type,2
808,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable,Type,2
808,Computers & Accessories,Category,1
808,Accessories & Peripherals,Category,2
808,Cables & Accessories,Category,3
808,Cables,Category,4
808,USB Cables,Category,5
1074,Duracell,Brand,1
1074,USB C,Type,2
1074,Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable,Type,2
1074,Computers & Accessories,Category,1
1074,Accessories & Peripherals,Category,2
1074,Cables & Accessories,Category,3
1074,Cables,Category,4
1074,USB Cables,Category,5
261,boAt,Brand,1
261,A400 USB,Type,2
261,boAt A400 USB Type-C to USB-A 2.0 Male Data Cable,Type,2
261,Computers & Accessories,Category,1
261,Accessories & Peripherals,Category,2
261,Cables & Accessories,Category,3
261,Cables,Category,4
261,USB Cables,Category,5
92,AmazonBasics,Brand,1
92,USB 2.0,Type,2
92,AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable,Type,2
92,Computers & Accessories,Category,1
92,Accessories & Peripherals,Category,2
92,Cables & Accessories,Category,3
92,Cables,Category,4
92,USB Cables,Category,5
880,Ambrane,Brand,1
880,60W /,Type,2
880,Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable,Type,2
880,Computers & Accessories,Category,1
880,Accessories & Peripherals,Category,2
880,Cables & Accessories,Category,3
880,Cables,Category,4
880,USB Cables,Category,5
708,Zoul,Brand,1
708,USB C,Type,2
708,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable,Type,2
708,Computers & Accessories,Category,1
708,Accessories & Peripherals,Category,2
708,Cables & Accessories,Category,3
708,Cables,Category,4
708,USB Cables,Category,5
14,Samsung,Brand,1
14,Original Type,Type,2
14,Samsung Original Type C to C Cable,Type,2
14,Computers & Accessories,Category,1
14,Accessories & Peripherals,Category,2
14,Cables & Accessories,Category,3
14,Cables,Category,4
14,USB Cables,Category,5
1198,pTron,Brand,1
1198,Solero T351,Type,2
1198,pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable,Type,2
1198,Computers & Accessories,Category,1
1198,Accessories & Peripherals,Category,2
1198,Cables & Accessories,Category,3
1198,Cables,Category,4
1198,USB Cables,Category,5
770,pTron,Brand,1
770,Solero MB301,Type,2
770,pTron Solero MB301 3A Micro USB Data & Charging Cable,Type,2
770,Computers & Accessories,Category,1
770,Accessories & Peripherals,Category,2
770,Cables & Accessories,Category,3
770,Cables,Category,4
770,USB Cables,Category,5
472,Amazonbasics,Brand,1
472,Nylon Braided,Type,2
472,Amazonbasics Nylon Braided Usb-C To Lightning Cable,Type,2
472,Computers & Accessories,Category,1
472,Accessories & Peripherals,Category,2
472,Cables & Accessories,Category,3
472,Cables,Category,4
472,USB Cables,Category,5
1038,Sounce,Brand,1
1038,65W OnePlus,Type,2
1038,Sounce 65W OnePlus Dash Warp Charge Cable,Type,2
1038,Computers & Accessories,Category,1
1038,Accessories & Peripherals,Category,2
1038,Cables & Accessories,Category,3
1038,Cables,Category,4
1038,USB Cables,Category,5
1172,OnePlus,Brand,1
1172,126 cm,Type,2
1172,Computers & Accessories,Category,1
1172,Accessories & Peripherals,Category,2
1172,Cables & Accessories,Category,3
1172,Cables,Category,4
1172,USB Cables,Category,5
876,Duracell,Brand,1
876,Type C,Type,2
876,Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable,Type,2
876,Computers & Accessories,Category,1
876,Accessories & Peripherals,Category,2
876,Cables & Accessories,Category,3
876,Cables,Category,4
876,USB Cables,Category,5
91,AmazonBasics,Brand,1
91,USB 2.0,Type,2
91,AmazonBasics USB 2.0 Cable,Type,2
91,Computers & Accessories,Category,1
91,Accessories & Peripherals,Category,2
91,Cables & Accessories,Category,3
91,Cables,Category,4
91,USB Cables,Category,5
933,Mi,Brand,1
933,108 cm,Type,2
933,Computers & Accessories,Category,1
933,Accessories & Peripherals,Category,2
933,Cables & Accessories,Category,3
933,Cables,Category,4
933,USB Cables,Category,5
345,Wayona,Brand,1
345,Nylon Braided,Type,2
345,Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable,Type,2
345,Computers & Accessories,Category,1
345,Accessories & Peripherals,Category,2
345,Cables & Accessories,Category,3
345,Cables,Category,4
345,USB Cables,Category,5
354,TP-Link,Brand,1
354,Nano AC600,Type,2
354,Computers & Accessories,Category,1
354,Accessories & Peripherals,Category,2
354,Cables & Accessories,Category,3
354,Cables,Category,4
354,USB Cables,Category,5
986,FLiX,Brand,1
986,(Beetel USB,Type,2
986,FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable,Type,2
986,Computers & Accessories,Category,1
986,Accessories & Peripherals,Category,2
986,Cables & Accessories,Category,3
986,Cables,Category,4
986,USB Cables,Category,5
471,Wecool,Brand,1
471,Nylon Braided,Type,2
471,Wecool Nylon Braided Multifunction Fast Charging Cable,Type,2
471,Computers & Accessories,Category,1
471,Accessories & Peripherals,Category,2
471,Cables & Accessories,Category,3
471,Cables,Category,4
471,USB Cables,Category,5
0,D-Link,Brand,1
0,DWA-131 300,Type,2
0,Computers & Accessories,Category,1
0,Accessories & Peripherals,Category,2
0,Cables & Accessories,Category,3
0,Cables,Category,4
0,USB Cables,Category,5
137,Amazon,Brand,1
137,Basics High-Speed,Type,2
137,Amazon Basics High-Speed HDMI Cable,Type,2
137,Computers & Accessories,Category,1
137,Accessories & Peripherals,Category,2
137,Cables & Accessories,Category,3
137,Cables,Category,4
137,USB Cables,Category,5
944,7SEVEN®,Brand,1
944,Compatible for,Type,2
944,Computers & Accessories,Category,1
944,Accessories & Peripherals,Category,2
944,Cables & Accessories,Category,3
944,Cables,Category,4
944,USB Cables,Category,5
234,Amazonbasics,Brand,1
234,Micro Usb,Type,2
234,Amazonbasics Micro Usb Fast Charging Cable,Type,2
234,Computers & Accessories,Category,1
234,Accessories & Peripherals,Category,2
234,Cables & Accessories,Category,3
234,Cables,Category,4
234,USB Cables,Category,5
387,TP-Link,Brand,1
387,AC600 600,Type,2
387,Computers & Accessories,Category,1
387,Accessories & Peripherals,Category,2
387,Cables & Accessories,Category,3
387,Cables,Category,4
387,USB Cables,Category,5
226,AmazonBasics,Brand,1
226,Micro USB,Type,2
226,AmazonBasics Micro USB Fast Charging Cable,Type,2
226,Computers & Accessories,Category,1
226,Accessories & Peripherals,Category,2
226,Cables & Accessories,Category,3
226,Cables,Category,4
226,USB Cables,Category,5
519,AmazonBasics,Brand,1
519,New Release,Type,2
519,AmazonBasics New Release Nylon USB-A to Lightning Cable,Type,2
519,Computers & Accessories,Category,1
519,Accessories & Peripherals,Category,2
519,Cables & Accessories,Category,3
519,Cables,Category,4
519,USB Cables,Category,5
372,VW,Brand,1
372,80 cm,Type,2
372,Computers & Accessories,Category,1
372,Accessories & Peripherals,Category,2
372,Cables & Accessories,Category,3
372,Cables,Category,4
372,USB Cables,Category,5
1303,Ambrane,Brand,1
1303,Unbreakable 3A,Type,2
1303,Ambrane Unbreakable 3A Fast Charging Braided Type C Cable,Type,2
1303,Computers & Accessories,Category,1
1303,Accessories & Peripherals,Category,2
1303,Cables & Accessories,Category,3
1303,Cables,Category,4
1303,USB Cables,Category,5
214,Tata,Brand,1
214,Sky Universal,Type,2
214,Computers & Accessories,Category,1
214,Accessories & Peripherals,Category,2
214,Cables & Accessories,Category,3
214,Cables,Category,4
214,USB Cables,Category,5
13,TP-LINK,Brand,1
13,WiFi Dongle,Type,2
13,Computers & Accessories,Category,1
13,Accessories & Peripherals,Category,2
13,Cables & Accessories,Category,3
13,Cables,Category,4
13,USB Cables,Category,5
1018,OnePlus,Brand,1
1018,80 cm,Type,2
1018,Computers & Accessories,Category,1
1018,Accessories & Peripherals,Category,2
1018,Cables & Accessories,Category,3
1018,Cables,Category,4
1018,USB Cables,Category,5
1188,Wecool,Brand,1
1188,Unbreakable 3,Type,2
1188,Wecool Unbreakable 3 in 1 Charging Cable,Type,2
1188,Computers & Accessories,Category,1
1188,Accessories & Peripherals,Category,2
1188,Cables & Accessories,Category,3
1188,Cables,Category,4
1188,USB Cables,Category,5
587,Portronics,Brand,1
587,Konnect L,Type,2
587,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable",Type,2
587,Computers & Accessories,Category,1
587,Accessories & Peripherals,Category,2
587,Cables & Accessories,Category,3
587,Cables,Category,4
587,USB Cables,Category,5
281,Airtel,Brand,1
281,DigitalTV DTH,Type,2
281,Computers & Accessories,Category,1
281,Accessories & Peripherals,Category,2
281,Cables & Accessories,Category,3
281,Cables,Category,4
281,USB Cables,Category,5
1131,Samsung,Brand,1
1131,108 cm,Type,2
1131,Computers & Accessories,Category,1
1131,Accessories & Peripherals,Category,2
1131,Cables & Accessories,Category,3
1131,Cables,Category,4
1131,USB Cables,Category,5
855,Lapster,Brand,1
855,1.5 mtr,Type,2
855,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable,Type,2
855,Computers & Accessories,Category,1
855,Accessories & Peripherals,Category,2
855,Cables & Accessories,Category,3
855,Cables,Category,4
855,USB Cables,Category,5
173,AmazonBasics,Brand,1
173,USB Type-C,Type,2
173,AmazonBasics USB Type-C to USB Type-C 2.0 Cable,Type,2
173,Computers & Accessories,Category,1
173,Accessories & Peripherals,Category,2
173,Cables & Accessories,Category,3
173,Cables,Category,4
173,USB Cables,Category,5
897,Redmi,Brand,1
897,80 cm,Type,2
897,Computers & Accessories,Category,1
897,Accessories & Peripherals,Category,2
897,Cables & Accessories,Category,3
897,Cables,Category,4
897,USB Cables,Category,5
138,Amazon,Brand,1
138,Basics High-Speed,Type,2
138,Amazon Basics High-Speed HDMI Cable,Type,2
138,Computers & Accessories,Category,1
138,Accessories & Peripherals,Category,2
138,Cables & Accessories,Category,3
138,Cables,Category,4
138,USB Cables,Category,5
1019,Portronics,Brand,1
1019,Konnect L,Type,2
1019,Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable,Type,2
1019,Computers & Accessories,Category,1
1019,Accessories & Peripherals,Category,2
1019,Cables & Accessories,Category,3
1019,Cables,Category,4
1019,USB Cables,Category,5
1269,Acer,Brand,1
1269,80 cm,Type,2
1269,Computers & Accessories,Category,1
1269,Accessories & Peripherals,Category,2
1269,Cables & Accessories,Category,3
1269,Cables,Category,4
1269,USB Cables,Category,5
276,Model-P4,Brand,1
276,6 Way,Type,2
276,Computers & Accessories,Category,1
276,Accessories & Peripherals,Category,2
276,Cables & Accessories,Category,3
276,Cables,Category,4
276,USB Cables,Category,5
172,Amazon,Brand,1
172,Basics USB,Type,2
172,Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable,Type,2
172,Computers & Accessories,Category,1
172,Accessories & Peripherals,Category,2
172,Cables & Accessories,Category,3
172,Cables,Category,4
172,USB Cables,Category,5
1244,oraimo,Brand,1
1244,65W Type,Type,2
1244,oraimo 65W Type C to C Fast Charging Cable,Type,2
1244,Computers & Accessories,Category,1
1244,Accessories & Peripherals,Category,2
1244,Cables & Accessories,Category,3
1244,Cables,Category,4
1244,USB Cables,Category,5
1224,CEDO,Brand,1
1224,65W OnePlus,Type,2
1224,CEDO 65W OnePlus Dash Warp Charge Cable,Type,2
1224,Computers & Accessories,Category,1
1224,Accessories & Peripherals,Category,2
1224,Cables & Accessories,Category,3
1224,Cables,Category,4
1224,USB Cables,Category,5
1031,Redmi,Brand,1
1031,108 cm,Type,2
1031,Computers & Accessories,Category,1
1031,Accessories & Peripherals,Category,2
1031,Cables & Accessories,Category,3
1031,Cables,Category,4
1031,USB Cables,Category,5
712,Pinnaclz,Brand,1
712,Original Combo,Type,2
712,Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable,Type,2
712,Computers & Accessories,Category,1
712,Accessories & Peripherals,Category,2
712,Cables & Accessories,Category,3
712,Cables,Category,4
712,USB Cables,Category,5
1036,boAt,Brand,1
1036,Type C,Type,2
1036,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable",Type,2
1036,Computers & Accessories,Category,1
1036,Accessories & Peripherals,Category,2
1036,Cables & Accessories,Category,3
1036,Cables,Category,4
1036,USB Cables,Category,5
881,Ambrane,Brand,1
881,2 in,Type,2
881,Ambrane 2 in 1 Type-C & Micro USB Cable,Type,2
881,Computers & Accessories,Category,1
881,Accessories & Peripherals,Category,2
881,Cables & Accessories,Category,3
881,Cables,Category,4
881,USB Cables,Category,5
1109,Ambrane,Brand,1
1109,60W /,Type,2
1109,Ambrane 60W / 3A Fast Charging Output Cable,Type,2
1109,Computers & Accessories,Category,1
1109,Accessories & Peripherals,Category,2
1109,Cables & Accessories,Category,3
1109,Cables,Category,4
1109,USB Cables,Category,5
1125,TCL,Brand,1
1125,80 cm,Type,2
1125,Computers & Accessories,Category,1
1125,Accessories & Peripherals,Category,2
1125,Cables & Accessories,Category,3
1125,Cables,Category,4
1125,USB Cables,Category,5
1159,SWAPKART,Brand,1
1159,Fast Charging,Type,2
1159,SWAPKART Fast Charging Cable,Type,2
1159,Computers & Accessories,Category,1
1159,Accessories & Peripherals,Category,2
1159,Cables & Accessories,Category,3
1159,Cables,Category,4
1159,USB Cables,Category,5
1288,Firestick,Brand,1
1288,Remote,Type,2
1288,Computers & Accessories,Category,1
1288,Accessories & Peripherals,Category,2
1288,Cables & Accessories,Category,3
1288,Cables,Category,4
1288,USB Cables,Category,5
369,Wayona,Brand,1
369,Usb Nylon,Type,2
369,Wayona Usb Nylon Braided Data Sync And Charging Cable,Type,2
369,Computers & Accessories,Category,1
369,Accessories & Peripherals,Category,2
369,Cables & Accessories,Category,3
369,Cables,Category,4
369,USB Cables,Category,5
987,Flix,Brand,1
987,(Beetel) Usb,Type,2
987,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable",Type,2
987,Computers & Accessories,Category,1
987,Accessories & Peripherals,Category,2
987,Cables & Accessories,Category,3
987,Cables,Category,4
987,USB Cables,Category,5
711,SKYWALL,Brand,1
711,81.28 cm,Type,2
711,Computers & Accessories,Category,1
711,Accessories & Peripherals,Category,2
711,Cables & Accessories,Category,3
711,Cables,Category,4
711,USB Cables,Category,5
827,boAt,Brand,1
827,A 350,Type,2
827,boAt A 350 Type C Cable,Type,2
827,Computers & Accessories,Category,1
827,Accessories & Peripherals,Category,2
827,Cables & Accessories,Category,3
827,Cables,Category,4
827,USB Cables,Category,5
319,Wayona,Brand,1
319,Usb Type,Type,2
319,Wayona Usb Type C Fast Charger Cable,Type,2
319,Computers & Accessories,Category,1
319,Accessories & Peripherals,Category,2
319,Cables & Accessories,Category,3
319,Cables,Category,4
319,USB Cables,Category,5
1065,OnePlus,Brand,1
1065,108 cm,Type,2
1065,Computers & Accessories,Category,1
1065,Accessories & Peripherals,Category,2
1065,Cables & Accessories,Category,3
1065,Cables,Category,4
1065,USB Cables,Category,5
1141,Acer,Brand,1
1141,127 cm,Type,2
1141,Computers & Accessories,Category,1
1141,Accessories & Peripherals,Category,2
1141,Cables & Accessories,Category,3
1141,Cables,Category,4
1141,USB Cables,Category,5
794,Samsung,Brand,1
794,108 cm,Type,2
794,Computers & Accessories,Category,1
794,Accessories & Peripherals,Category,2
794,Cables & Accessories,Category,3
794,Cables,Category,4
794,USB Cables,Category,5
1329,Lapster,Brand,1
1329,65W compatible,Type,2
1329,Lapster 65W compatible for OnePlus Dash Warp Charge Cable,Type,2
1329,Computers & Accessories,Category,1
1329,Accessories & Peripherals,Category,2
1329,Cables & Accessories,Category,3
1329,Cables,Category,4
1329,USB Cables,Category,5
338,Wayona,Brand,1
338,Nylon Braided,Type,2
338,Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable,Type,2
338,Computers & Accessories,Category,1
338,Accessories & Peripherals,Category,2
338,Cables & Accessories,Category,3
338,Cables,Category,4
338,USB Cables,Category,5
133,Gizga,Brand,1
133,Essentials USB,Type,2
133,Computers & Accessories,Category,1
133,Accessories & Peripherals,Category,2
133,Cables & Accessories,Category,3
133,Cables,Category,4
133,USB Cables,Category,5
1017,OnePlus,Brand,1
1017,108 cm,Type,2
1017,Computers & Accessories,Category,1
1017,Accessories & Peripherals,Category,2
1017,Cables & Accessories,Category,3
1017,Cables,Category,4
1017,USB Cables,Category,5
642,boAt,Brand,1
642,Deuce USB,Type,2
642,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable",Type,2
642,Computers & Accessories,Category,1
642,Accessories & Peripherals,Category,2
642,Cables & Accessories,Category,3
642,Cables,Category,4
642,USB Cables,Category,5
1072,Lapster,Brand,1
1072,USB 3.0,Type,2
1072,Computers & Accessories,Category,1
1072,Accessories & Peripherals,Category,2
1072,Cables & Accessories,Category,3
1072,Cables,Category,4
1072,USB Cables,Category,5
1051,TCL,Brand,1
1051,100 cm,Type,2
1051,Computers & Accessories,Category,1
1051,Accessories & Peripherals,Category,2
1051,Cables & Accessories,Category,3
1051,Cables,Category,4
1051,USB Cables,Category,5
799,ZEBRONICS,Brand,1
799,ZEB-USB150WF1 WiFi,Type,2
799,Computers & Accessories,Category,1
799,Accessories & Peripherals,Category,2
799,Cables & Accessories,Category,3
799,Cables,Category,4
799,USB Cables,Category,5
800,LOHAYA,Brand,1
800,Remote Compatible,Type,2
800,Computers & Accessories,Category,1
800,Accessories & Peripherals,Category,2
800,Cables & Accessories,Category,3
800,Cables,Category,4
800,USB Cables,Category,5
676,Gilary,Brand,1
676,Multi Charging,Type,2
676,Gilary Multi Charging Cable,Type,2
676,Computers & Accessories,Category,1
676,Accessories & Peripherals,Category,2
676,Cables & Accessories,Category,3
676,Cables,Category,4
676,USB Cables,Category,5
118,TP-Link,Brand,1
118,UE300 USB,Type,2
118,Computers & Accessories,Category,1
118,Accessories & Peripherals,Category,2
118,Cables & Accessories,Category,3
118,Cables,Category,4
118,USB Cables,Category,5
594,Wayona,Brand,1
594,Type C,Type,2
594,Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable,Type,2
594,Computers & Accessories,Category,1
594,Accessories & Peripherals,Category,2
594,Cables & Accessories,Category,3
594,Cables,Category,4
594,USB Cables,Category,5
872,Dealfreez,Brand,1
872,Case Compatible,Type,2
872,Computers & Accessories,Category,1
872,Accessories & Peripherals,Category,2
872,Cables & Accessories,Category,3
872,Cables,Category,4
872,USB Cables,Category,5
517,Amazon,Brand,1
517,Basics New,Type,2
517,Amazon Basics New Release Nylon USB-A to Lightning Cable,Type,2
517,Computers & Accessories,Category,1
517,Accessories & Peripherals,Category,2
517,Cables & Accessories,Category,3
517,Cables,Category,4
517,USB Cables,Category,5
299,Isoelite,Brand,1
299,Remote Compatible,Type,2
299,Computers & Accessories,Category,1
299,Accessories & Peripherals,Category,2
299,Cables & Accessories,Category,3
299,Cables,Category,4
299,USB Cables,Category,5
1234,MI,Brand,1
1234,100 cm,Type,2
1234,Computers & Accessories,Category,1
1234,Accessories & Peripherals,Category,2
1234,Cables & Accessories,Category,3
1234,Cables,Category,4
1234,USB Cables,Category,5
341,Wayona,Brand,1
341,Nylon Braided,Type,2
341,Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable,Type,2
341,Computers & Accessories,Category,1
341,Accessories & Peripherals,Category,2
341,Cables & Accessories,Category,3
341,Cables,Category,4
341,USB Cables,Category,5
1021,Wayona,Brand,1
1021,Type C,Type,2
1021,Wayona Type C To Type C Long Fast Charging Cable,Type,2
1021,Computers & Accessories,Category,1
1021,Accessories & Peripherals,Category,2
1021,Cables & Accessories,Category,3
1021,Cables,Category,4
1021,USB Cables,Category,5
337,Wayona,Brand,1
337,Nylon Braided,Type,2
337,Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable,Type,2
337,Computers & Accessories,Category,1
337,Accessories & Peripherals,Category,2
337,Cables & Accessories,Category,3
337,Cables,Category,4
337,USB Cables,Category,5
843,CROSSVOLT,Brand,1
843,Compatible Dash/Warp,Type,2
843,CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable,Type,2
843,Computers & Accessories,Category,1
843,Accessories & Peripherals,Category,2
843,Cables & Accessories,Category,3
843,Cables,Category,4
843,USB Cables,Category,5
1268,VU,Brand,1
1268,139 cm,Type,2
1268,Computers & Accessories,Category,1
1268,Accessories & Peripherals,Category,2
1268,Cables & Accessories,Category,3
1268,Cables,Category,4
1268,USB Cables,Category,5
774,PTron,Brand,1
774,Solero T241,Type,2
774,PTron Solero T241 2.4A Type-C Data & Charging USB Cable,Type,2
774,Computers & Accessories,Category,1
774,Accessories & Peripherals,Category,2
774,Cables & Accessories,Category,3
